"","season","yr","mnth","holiday","weekday","workingday","weathersit","temp","hum","windspeed","cnt"
"5","SPRING","2011","JAN","NO","WED","WORKDAY","1",0.226957,0.436957,0.1869,1600
"6","SPRING","2011","JAN","NO","THU","WORKDAY","1",0.204348,0.518261,0.0895652,1606
"8","SPRING","2011","JAN","NO","SAT","FREEDAY","2",0.165,0.535833,0.266804,959
"10","SPRING","2011","JAN","NO","MON","WORKDAY","1",0.150833,0.482917,0.223267,1321
"11","SPRING","2011","JAN","NO","TUE","WORKDAY","2",0.169091,0.686364,0.122132,1263
"12","SPRING","2011","JAN","NO","WED","WORKDAY","1",0.172727,0.599545,0.304627,1162
"13","SPRING","2011","JAN","NO","THU","WORKDAY","1",0.165,0.470417,0.301,1406
"14","SPRING","2011","JAN","NO","FRI","WORKDAY","1",0.16087,0.537826,0.126548,1421
"16","SPRING","2011","JAN","NO","SUN","FREEDAY","1",0.231667,0.48375,0.188433,1204
"17","SPRING","2011","JAN","YES","MON","FREEDAY","2",0.175833,0.5375,0.194017,1000
"19","SPRING","2011","JAN","NO","WED","WORKDAY","2",0.292174,0.741739,0.208317,1650
"20","SPRING","2011","JAN","NO","THU","WORKDAY","2",0.261667,0.538333,0.195904,1927
"21","SPRING","2011","JAN","NO","FRI","WORKDAY","1",0.1775,0.457083,0.353242,1543
"23","SPRING","2011","JAN","NO","SUN","FREEDAY","1",0.0965217,0.436522,0.2466,986
"24","SPRING","2011","JAN","NO","MON","WORKDAY","1",0.0973913,0.491739,0.15833,1416
"26","SPRING","2011","JAN","NO","WED","WORKDAY","3",0.2175,0.8625,0.29385,506
"29","SPRING","2011","JAN","NO","SAT","FREEDAY","1",0.196522,0.651739,0.145365,1098
"30","SPRING","2011","JAN","NO","SUN","FREEDAY","1",0.216522,0.722174,0.0739826,1096
"31","SPRING","2011","JAN","NO","MON","WORKDAY","2",0.180833,0.60375,0.187192,1501
"33","SPRING","2011","FEB","NO","WED","WORKDAY","2",0.26,0.775417,0.264308,1526
"34","SPRING","2011","FEB","NO","THU","WORKDAY","1",0.186957,0.437826,0.277752,1550
"36","SPRING","2011","FEB","NO","SAT","FREEDAY","2",0.233333,0.929167,0.161079,1005
"37","SPRING","2011","FEB","NO","SUN","FREEDAY","1",0.285833,0.568333,0.1418,1623
"38","SPRING","2011","FEB","NO","MON","WORKDAY","1",0.271667,0.738333,0.0454083,1712
"39","SPRING","2011","FEB","NO","TUE","WORKDAY","1",0.220833,0.537917,0.36195,1530
"40","SPRING","2011","FEB","NO","WED","WORKDAY","2",0.134783,0.494783,0.188839,1605
"41","SPRING","2011","FEB","NO","THU","WORKDAY","1",0.144348,0.437391,0.221935,1538
"45","SPRING","2011","FEB","NO","MON","WORKDAY","1",0.415,0.375833,0.417908,1913
"47","SPRING","2011","FEB","NO","WED","WORKDAY","1",0.318261,0.423478,0.251791,2115
"48","SPRING","2011","FEB","NO","THU","WORKDAY","1",0.435833,0.505,0.230104,2475
"49","SPRING","2011","FEB","NO","FRI","WORKDAY","1",0.521667,0.516667,0.264925,2927
"50","SPRING","2011","FEB","NO","SAT","FREEDAY","1",0.399167,0.187917,0.507463,1635
"51","SPRING","2011","FEB","NO","SUN","FREEDAY","1",0.285217,0.407826,0.223235,1812
